Gene name	Human gene name
mov10b.2	MOV10
lamtor5	LAMTOR5
enosf1	ENOSF1
irf2	IRF2
cited4b	CITED4
gdf11	
si:ch73-382f3.1	
larp4b	LARP4B
b3galt2	B3GALT2
diras1a	DIRAS1
chs1	
wdr46	WDR46
lect2l	LECT2
bfb	CFB
bfb	AL645922.1
zbtb34	ZBTB34
faah2a	FAAH2
hacd3	HACD3
crygm2d15	CRYGD
crygm2d15	CRYGB
crygm2d15	CRYGC
crygm2d15	CRYGA
pdzd11	PDZD11
cfap126	CFAP126
fam120b	FAM120B
selenop2	
prok1	PROK2
prok1	PROK1
si:ch73-236c18.9	
rx2	
gdnfa	GDNF
casp3a	CASP3
prpf3	PRPF3
cd79a	CD79A
wdr83os	WDR83OS
ensab	ENSA
rxrba	RXRB
trim9	TRIM9
zgc:110783	MARC1
zgc:110783	AL445423.2
si:dkey-266f7.5	
hmgn7	
tbx15	TBX15
cib1	CIB1
phpt1	PHPT1
zgc:152948	C18orf54
capn9	CAPN9
olfcg3	
btbd3a	
ccnq	CCNQ
irx4a	IRX4
ormdl2	ORMDL2
fam45a	
snx3	SNX3
med13a	MED13
dmrt2b	
GDPGP1	GDPGP1
GDPGP1	AC091167.7
itgb1bp1	ITGB1BP1
cd248a	CD93
abo	GBGT1
olfcg4	
phax	PHAX
hormad1	HORMAD1
cart2	
kyat1	AL441992.2
kyat1	KYAT1
nkl.3	
AL845428.4	
slc43a2b	SLC43A2
ssna1	
cuedc1a	CUEDC1
snx33	SNX33
cbx5	CBX5
zgc:174650	
thrb	THRB
gatd3a	GATD3A
gatd3a	FP565260.2
gatd3a	GATD3B
babam2	BABAM2
UTP14C	UTP14A
UTP14C	UTP14C
si:ch211-173p18.3	ZMYM5
si:ch211-173p18.3	ZMYM6
si:ch211-173p18.3	GTF2I
si:ch211-173p18.3	ZMYM4
si:ch211-173p18.3	AC114490.2
kif4	KIF4A
arhgef1b	ARHGEF1
irf1a	IRF1
irgf1	IRGC
irgf1	IRGM
serp1	SERP1
tmem160	TMEM160
wdr48b	WDR48
sept3	SEPT3
stam2	STAM2
pus3	PUS3
gpia	GPI
leap2	
supv3l1	SUPV3L1
ugt2a5	
lrp8	LRP8
surf1	SURF1
sat1a.2	SAT1
slc35b1	SLC35B1
rbks	RBKS
cers4a	CERS4
crygm2d18	CRYGD
crygm2d18	CRYGB
crygm2d18	CRYGC
crygm2d18	CRYGA
ddx21	DDX21
sin3b	SIN3B
iqcg	IQCG
cfbl	CFB
cfbl	AL645922.1
dusp5	DUSP5
ugt5d1	UGT1A9
ugt5d1	UGT1A7
ugt5d1	UGT1A8
ugt5d1	UGT1A10
ugt5d1	UGT1A6
ugt5d1	UGT2B28
ugt5d1	UGT2B10
ugt5d1	UGT2B11
ugt5d1	UGT3A1
ugt5d1	UGT1A3
ugt5d1	UGT1A5
ugt5d1	UGT1A4
ugt5d1	UGT2B4
ugt5d1	UGT2B7
ugt5d1	UGT2A2
ugt5d1	UGT2A1
ugt5d1	UGT2B15
ugt5d1	UGT2B17
ugt5d1	UGT2A3
rnf121	RNF121
crygm2d17	CRYGD
crygm2d17	CRYGB
crygm2d17	CRYGC
crygm2d17	CRYGA
ccl19b	
aqp9b	AQP6
pja2	PJA1
pja2	PJA2
zgc:171509	
pdxkb	PDXK
mfap3l	MFAP3L
eif3ea	EIF3E
dyrk2	DYRK2
tsn	TSN
pax4	
ankrd9	ANKRD9
panx1a	PANX1
vrk1	VRK1
mettl5	METTL5
fblim1	FBLIM1
crygm2d8	CRYGD
crygm2d8	CRYGB
crygm2d8	CRYGC
crygm2d8	CRYGA
crygm2d8	CRYGD
crygm2d8	CRYGB
crygm2d8	CRYGC
crygm2d8	CRYGA
rd3	RD3
lmx1bb	LMX1B
cpe	CPE
c8g	C8G
wars2	WARS2
glrx2	
zgc:113274	
fmnl3	FMNL3
otpb	OTP
tmem86a	TMEM86A
crp7	
oxct1b	OXCT1
oxct1b	OXCT2
pyroxd2	
pimr212	
chmp1a	CHMP1A
rdh14b	RDH14
smg1	SMG1
clcn2a	CLCN2
nkx2.5	NKX2-5
lrrc14b	LRRC14B
slc25a21	SLC25A21
npas1	NPAS1
lhfpl3	
atf7ip	ATF7IP
bdnf	BDNF
nrm	NRM
pm20d1.2	PM20D1
unc45a	UNC45A
hoxa1a	HOXA1
si:ch211-22i13.2	
twnk	TWNK
dap3	DAP3
noc4l	NOC4L
dbt	DBT
phactr3b	PHACTR3
txlna	TXLNA
xpnpep3	XPNPEP3
bdnf	BDNF
zbtb43	ZBTB43
prpf38b	
dmbx1a	DMBX1
mrpl43	MRPL43
stim1b	STIM1
rnf13	RNF13
bdnf	BDNF
prkcda	PRKCD
or103-4	
evx1	EVX1
ccnl1b	
dmbx1a	DMBX1
spink4	SPINK4
nt5e	NT5E
or103-3	
cisd2	CISD2
rogdi	ROGDI
ube2g1a	UBE2G1
pus1	PUS1
thap3	
g0s2	G0S2
gata6	GATA6
myhz2	
cfap161	CFAP161
si:dkeyp-117h8.4	
slc4a2b	SLC4A2
si:ch211-219a15.3	
gata6	GATA6
si:ch1073-291c23.2	
dis3l	DIS3L
zgc:174890	
nr2e1	NR2E1
mgat1b	MGAT1
anxa4	ANXA4
slc25a37	SLC25A37
pola1	POLA1
zgc:153215	RBM12B
si:ch1073-291c23.2	
eif4e3	EIF4E3
si:ch1073-291c23.2	
ltb4r2b	LTB4R2
hoxa9a	
smarcd3b	SMARCD3
trmt13	TRMT13
nmrk2	
herpud2	HERPUD2
adat1	ADAT1
si:ch1073-110a20.7	MFAP4
psmc1a	PSMC1
tipin	TIPIN
zgc:110006	C21orf91
si:ch211-120k19.1	
trappc11	TRAPPC11
lmx1ba	LMX1B
fam98b	FAM98B
tmsb1	
fpgs	FPGS
si:dkey-91i10.2	
si:ch211-191a24.4	
rassf1	RASSF1
tfam	TFAM
nmrk2	
spon2b	SPON2
cacna2d2b	CACNA2D2
spred1	SPRED1
otud3	OTUD3
si:ch211-191a24.4	
si:ch211-191a24.4	
tusc2b	TUSC2
irx2a	IRX2
lrrc39	LRRC39
tnr	TNR
klhl7	KLHL7
nkl.2	
actr3b	ACTR3B
actr3b	ACTR3C
nkl.2	
lhfpl2b	LHFPL2
crygm2d14	CRYGD
crygm2d14	CRYGB
crygm2d14	CRYGC
crygm2d14	CRYGA
tfe3b	TFE3
cplx4c	
ubn2b	UBN2
foxi2	
wnt5b	WNT5B
asns	ASNS
pcgf5b	PCGF5
ncbp2	NCBP2
ncbp2	NCBP2L
hoxa3a	
si:dkeyp-2e4.6	
crygm2d16	CRYGD
crygm2d16	CRYGB
crygm2d16	CRYGC
crygm2d16	CRYGA
synm	SYNM
fbxl14b	FBXL14
pkdcca	PKDCC
gab1	GAB1
si:dkeyp-2e4.6	
si:ch211-266a5.12	
bcas3	BCAS3
necap2	NECAP2
chia.3	
col17a1a	
hoxa3a	
ino80b	INO80B
ino80b	INO80B-WBP1
ppat	PPAT
drd4b	DRD4
rpl18	RPL18
ccbe1	CCBE1
shbg	
pgghg	PGGHG
rcor2	RCOR2
si:dkeyp-2e4.3	
tbx20	TBX20
ptbp1a	PTBP1
hspb8	HSPB8
smn1	SMN2
smn1	SMN1
sipa1l1	SIPA1L1
pfn2	PFN2
tmie	
cacnb4a	AC068547.1
cacnb4a	CACNB4
kat14	KAT14
cpn1	CPN1
kat14	KAT14
tmie	
frmd6	FRMD6
got2b	GOT2
hoxa5a	HOXA5
sirt3	SIRT3
mapk8b	MAPK8
ythdc1	YTHDC1
hoxa13a	
nr4a2b	
mtif2	MTIF2
zfpm2b	ZFPM2
slc25a28	SLC25A28
si:dkey-5i3.5	
bmp15	BMP15
sufu	SUFU
hoxa11a	HOXA11
ube2na	UBE2NL
ube2na	UBE2N
pon1	PON3
pon1	PON2
pon1	PON1
iqcb1	IQCB1
myoz2b	MYOZ2
plvapa	PLVAP
brd9	BRD9
uqcrb	UQCRB
zgc:112977	
rest	REST
cadm1b	CADM1
tecpr2	TECPR2
ednrab	EDNRA
TXN	TXN
setd7	SETD7
tspan35	
tmem88b	
grk1a	GRK1
vamp5	VAMP5
elovl8a	
syt7b	SYT7
ca14	CA14
aqp10a	AQP10
aqp10a	AQP9
aqp10a	AQP5
aqp10a	AQP6
msmo1	MSMO1
vamp5	VAMP5
polr1d	POLR1D
klhl18	KLHL18
hipk3b	HIPK3
fbxo44	
atp6v1e1b	ATP6V1E1
atp6v1e1b	ATP6V1E2
rtel1	RTEL1
rtel1	RTEL1-TNFRSF6B
mterf3	MTERF3
selenot1b	SELENOT
trim36	TRIM36
smx5	LSM2
sub1a	SUB1
cthl	CTH
ripk4	RIPK4
si:dkey-266f7.9	
rpe65b	RPE65
bbs1	BBS1
bbs1	AP002748.4
dnajb6b	DNAJB1
dnajb6b	DNAJB8
dnajb6b	DNAJB7
olfcg5	
pcca	PCCA
clcn2c	CLCN2
sub1a	SUB1
sub1a	SUB1
rad23ab	
mvb12ba	MVB12B
ctbp1	
iah1	IAH1
mcl1b	MCL1
tuba2	
si:ch211-195d17.2	E2F6
tpst2	TPST2
arhgap25	ARHGAP25
sdr39u1	SDR39U1
ppm1e	PPM1E
rnf10	RNF10
hif1an	HIF1AN
ubc	
msrb2	
adam10a	ADAM30
adam10a	ADAM18
adam10a	ADAM7
adam10a	ADAM20
adam10a	ADAM2
adam10a	ADAM32
adam10a	ADAM29
adam10a	ADAMDEC1
adam10a	ADAM21
cbln6	CBLN3
vps26a	VPS26A
prps1b	PRPS1
prps1b	PRPS1L1
zgc:162872	
zgc:101840	CRIP2
tcp11l1	TCP11L1
hmcn1	HMCN1
gnao1a	GNAO1
carmil3	CARMIL3
gamt	GAMT
lipca	LIPC
si:ch211-198n5.11	
nr2f6a	NR2F6
neu4	NEU4
nudt4a	NUDT4
nudt4a	NUDT4B
rasgef1ba	RASGEF1B
crygm2d6	CRYGD
crygm2d6	CRYGB
crygm2d6	CRYGC
crygm2d6	CRYGA
foxl1	FOXL1
nsun5	NSUN5
paics	PAICS
nudt4a	NUDT4
nudt4a	NUDT4B
trip13	TRIP13
cbln8	CBLN3
il13ra2	IL13RA2
dhrs13b	DHRS13
zgc:174863	CADM1
erap1b	ERAP1
hsd17b2	HSD17B2
irf3	IRF3
bub3	BUB3
slc22a7b.1	
cplane2	CPLANE2
stard3	STARD3
blvra	BLVRA
scmh1	SCMH1
ilkap	ILKAP
stk33	STK33
chrne	CHRNE
mxc	MX2
ablim1b	
klf12b	
psma3	PSMA3
ssu72	SSU72P7
ssu72	SSU72P2
ssu72	SSU72P5
ssu72	SSU72P8
ssu72	SSU72P4
ssu72	SSU72P3
ssu72	SSU72
atp1a1a.1	ATP1A1
tmed9	TMED9
rfesd	RFESD
dhrs13l1	DHRS13
si:dkey-286j15.3	RFPL2
si:dkey-286j15.3	RFPL3
si:dkey-286j15.3	RFPL1
si:dkey-286j15.3	RFPL4A
si:dkey-286j15.3	RFPL4AL1
si:dkey-286j15.3	AL365214.3
si:dkey-286j15.3	RFPL4B
si:dkey-286j15.3	RFPL2
si:dkey-286j15.3	RFPL3
si:dkey-286j15.3	RFPL1
si:dkey-286j15.3	RFPL4A
si:dkey-286j15.3	RFPL4AL1
si:dkey-286j15.3	AL365214.3
si:dkey-286j15.3	RFPL4B
barhl1a	BARHL1
sp1	SP1
or102-1	
osgepl1	OSGEPL1
sdhc	SDHC
zgc:172014	
zgc:101731	
prph2b	PRPH2
si:ch211-13c6.2	
nudt2	NUDT2
cbx4	CBX4
zgc:171887	
MFAP4 (1 of many)	MFAP4
rhag	RHAG
wnt8b	WNT8B
foxq1b	FOXQ1
pggt1b	PGGT1B
uck2b	UCK2
si:ch211-130m23.3	SSBP2
rhogb	RHOG
AL845428.1	
kdm1a	KDM1A
mov10b.1	MOV10
si:dkey-19a16.2	
zgc:194246	
fech	FECH
cacng2a	CACNG2
b4galt1l	B4GALT1
tnnt3a	TNNT3
fstl4	FSTL4
gde1	GDE1
cd9a	CD9
metap2b	METAP2
kctd12b	
zgc:172051	
psma8	PSMA8
mcrs1	MCRS1
si:dkey-156k2.3	
zgc:77439	
scarb1	SCARB1
itgb4	ITGB4
mfap4	MFAP4
mfap4	MFAP4
mphosph6	MPHOSPH6
si:dkey-44g23.5	MCRIP2
ankar	ANKAR
cdkn2aip	CDKN2AIP
zgc:77439	
zgc:193812	
or102-3	
suox	SUOX
hrasb	HRAS
adat3	ADAT3
gabarapl2	GABARAPL2
fbxo28	FBXO28
adat3	ADAT3
fem1c	FEM1C
sfxn4	SFXN4
pex1	PEX1
atp1a1a.2	ATP1A1
iqcb1	IQCB1
epdr1	
xpr1a	XPR1
si:dkey-245f22.3	
rnft1	RNFT1
zbtb8a	ZBTB8A
ifng1	IFNG
tmem231	TMEM231
rab40c	RAB40C
prmt8b	PRMT8
rybpa	
urb1	URB1
irf6	IRF6
zswim5	ZSWIM5
pelo	PELO
zgc:174945	
si:dkey-7e14.3	AC187653.1
cmtm7	CMTM7
wdr82	WDR82
zbtb20	ZBTB20
bmp10	BMP10
mvb12bb	MVB12B
mccc2	MCCC2
phex	PHEX
tsc22d2	
cplx4a	CPLX4
tm4sf5	TM4SF5
homer1b	HOMER1
tacr3l	TACR3
arl3a	ARL3
mier1a	MIER1
homer1b	HOMER1
phex	PHEX
arl3a	ARL3
nkx2.3	NKX2-3
cdk9	CDK9
ckbb	CKB
zgc:158640	
pth1ra	PTH1R
tubgcp4	TUBGCP4
eif3m	EIF3M
ephb2b	EPHB2
raf1a	RAF1
lrp12	LRP12
olfch1	
efnb1	EFNB1
bdh2	BDH2
rpl3	RPL3
mtch2	MTCH2
cbln17	CBLN3
cnot1	CNOT1
pgap2	PGAP2
mxe	MX2
mettl15	METTL15
gadd45aa	GADD45A
rbm17	RBM17
fibinb	FIBIN
zgc:113220	
anapc2	ANAPC2
gale	GALE
wwc3	WWC3
ifng1r	IFNG
AL929092.1	
zgc:123238	C1orf43
hrh2b	
rars2	RARS2
zgc:113149	
krt4	
vdac1	VDAC1
fam155b	FAM155B
zbtb8os	ZBTB8OS
il26	
srgn	SRGN
dnajc5aa	DNAJC5
si:dkeyp-2e4.2	ZNF668
si:dkeyp-2e4.2	ZNF579
si:dkeyp-2e4.2	ZNF358
si:ch211-71m22.1	PLSCR4
si:ch211-71m22.1	PLSCR2
si:ch211-71m22.1	PLSCR5
si:ch211-71m22.1	PLSCR3
gspt1	GSPT1
ppm1g	PPM1G
gnb5b	
bgnb	BGN
si:ch73-130a3.4	
med21	MED21
exosc3	EXOSC3
bcl2l10	
dachd	DACH1
srprb	
kif18a	
si:ch211-133n4.4	
rnf2	RNF2
lrmda	LRMDA
ptpreb	PTPRE
si:ch211-286b5.5	
foxc1b	FOXC1
ppil2	PPIL2
efna1a	EFNA1
celsr2	CELSR2
si:dkey-16p6.1	
zgc:101100	
adcy7	ADCY7
nup155	NUP155
prkab1a	PRKAB1
zgc:77929	C6orf120
bcl7a	BCL7A
top2b	TOP2B
eif6	AL121753.1
eif6	EIF6
degs1	DEGS1
efnb2b	EFNB2
oip5	OIP5
uchl5	UCHL5
ccdc85a	CCDC85A
desmb	DES
zgc:158403	
ube2r2	
cbx8a	CBX8
glud1b	GLUD2
glud1b	GLUD1
zgc:162608	
ankrd1b	ANKRD1
alkbh2	ALKBH2
tuft1a	TUFT1
rhogd	
arglu1b	ARGLU1
cth	CTH
npm3	NPM3
hmg20a	HMG20A
cyhr1	CYHR1
hao2	HAO2
stard3nl	STARD3NL
tom1l2	TOM1L2
crygm2d12	CRYGD
crygm2d12	CRYGB
crygm2d12	CRYGC
crygm2d12	CRYGA
bloc1s4	BLOC1S4
nkx2.7	
id1	ID1
ncbp3	NCBP3
gpr132b	
ppp4r2a	
alas2	ALAS2
si:ch211-223m11.2	
mecp2	MECP2
rpp30	RPP30
mecp2	MECP2
eaf2	EAF2
hgfa	HGF
atpaf2	ATPAF2
tent4b	TENT4B
twf2a	TWF2
mgst2	MGST2
intu	INTU
kif1bp	KIF1BP
hspa9	HSPA9
hpx a	MMP12
hpx a	MMP10
hpx a	MMP13
hpx a	MMP3
hpx a	MMP26
hpx a	MMP20
hpx a	MMP27
nkx6.3	NKX6-3
rerglb	
sdhaf2	SDHAF2
sdhaf2	AP003108.2
rbbp9	RBBP9
strip1	STRIP1
rap1ab	
mboat2b	MBOAT2
phyhiplb	PHYHIPL
rx3	
rap1ab	
fam102ba	FAM102B
stk24b	STK24
olfcj1	
grnb	GRN
vars2	VARS2
esf1	ESF1
fyna	FYN
il22	IL26
pm20d1.1	PM20D1
lmnl3	
nr2c2	NR2C2
gpm6ab	
sh3rf1	SH3RF1
sh3rf1	SH3RF1
arhgap11a	ARHGAP11A
arhgap11a	ARHGAP11B
arhgap11a	AC091057.6
stc1	STC1
si:dkey-286j15.1	
kcnk1b	KCNK1
anxa5b	ANXA5
ndufs5	NDUFS5
braf	BRAF
arhgap11a	ARHGAP11A
arhgap11a	ARHGAP11B
arhgap11a	AC091057.6
znf503	ZNF503
ccdc43	CCDC43
phgdh	PHGDH
glod4	GLOD4
znf1162	
foxi3b	
commd2	COMMD2
kcnk1b	KCNK1
vtg3	
arhgef9b	ARHGEF9
pigq	PIGQ
zgc:154006	ELL3
zgc:154006	OCEL1
acot8	ACOT8
tmem41b	TMEM41B
ela2l	CELA2B
ela2l	CELA2A
her9	HES4
sec63	SEC63
eda	EDA
nexn	NEXN
adam17a	ADAM17
st8sia3	ST8SIA3
zgc:173726	
foxn4	FOXN4
cdc42se2	CDC42SE2
disp2	DISP2
st13	ST13
tbxas1	TBXAS1
hipk3a	
zgc:175284	
bcl6aa	BCL6
serp2	
hpn	HPN
pax9	PAX9
rnf144aa	RNF144A
gng12a	GNG12
anxa2b	ANXA2
rrbp1b	RRBP1
zwi	
braf	BRAF
si:dkey-102f14.5	C16orf70
bbox1	BBOX1
atp6v1g1	ATP6V1G1
tacr1b	TACR1
nkx2.9	
pon3.2	PON3
pon3.2	PON2
pon3.2	PON1
trim33	TRIM33
s100a10a	S100A10
s100a10a	S100A6
s100a10a	S100A14
s100a10a	S100A8
s100a10a	S100A3
s100a10a	S100A2
s100a10a	CRNN
s100a10a	S100A9
s100a10a	S100A7L2
s100a10a	S100A4
s100a10a	S100A7
s100a10a	S100A7A
s100a10a	SNTN
s100a10a	S100G
s100a10a	S100A5
scdb	SCD
nkx2.1	NKX2-1
cacna1ab	CACNA1A
lman2	LMAN2
efna2a	EFNA2
hmgb1b	HMGB1
bfsp2	BFSP2
mettl3	METTL3
ak7b	AK7
nvl	NVL
lmnb1	LMNB1
susd4	SUSD4
acin1b	ACIN1
ddi2	DDI2
ddi2	DDI1
prkra	PRKRA
fxyd1	
pde5ab	PDE5A
sptlc1	SPTLC1
atl3	ATL3
trim46b	TRIM46
pqlc2	PQLC2
si:dkey-20i20.8	
dpm3	DPM3
thpo	THPO
igf1ra	IGF1R
inab	INA
cxxc1b	
taf5l	TAF5L
glyr1	GLYR1
slbp	SLBP
ephx2	EPHX2
efs	EFS
rem2	REM2
ido1	
znf1003	
vipas39	VIPAS39
nr1h5	RORC
nr1h5	NR1I3
cish	CISH
mad2l1	MAD2L1
tcerg1a	TCERG1
slc6a17	SLC6A17
msantd1	MSANTD1
adipor2	ADIPOR2
scinlb	
rnasel3	RNASE4
emc2	EMC2
ftr54	RFPL2
ftr54	RFPL3
ftr54	RFPL1
ftr54	RFPL4A
ftr54	RFPL4AL1
ftr54	AL365214.3
ftr54	RFPL4B
macc1	MACC1
si:dkey-33i11.4	
si:dkey-33i11.4	
rad51b	RAD51B
myca	MYC
slka	SLK
zgc:158445	
rab15	RAB15
slbp	SLBP
mcm7	MCM7
xaf1	XAF1
galcb	GALC
nifk	NIFK
ankfy1	ANKFY1
pimr151	
tmem243a	TMEM243
got1	GOT1
wls	WLS
myod1	MYOD1
adrb3b	ADRB3
adrb3b	AC144573.1
gemin4	GEMIN4
iqcc	IQCC
mfsd13a	MFSD13A
fktn	FKTN
sh2d1aa	SH2D1A
xbp1	XBP1
ccl39.3	
prlhr2b	
grp	GRP
zgc:158846	
mdm1	MDM1
tas1r1	TAS1R1
atp2b1a	ATP2B1
nup133	NUP133
tspan11	TSPAN11
tpd52l2a	
pus7	PUS7
siglec15l	
socs1a	SOCS1
pip5k1aa	
esr2b	ESR2
fabp3	FABP3
acbd6	ACBD6
ndufaf5	NDUFAF5
zgc:198241	
tpd52l2a	
rap1gap2b	RAP1GAP2
ap2s1	AP2S1
wwtr1	WWTR1
zgc:173720	
stra6l	
zgc:162193	TCAF2C
zgc:162193	TCAF2
zgc:162193	TCAF1
ccdc28b	CCDC28B
zfp36l1b	ZFP36L1
sugct	SUGCT
dcaf12	DCAF12
plagx	ZNF770
plagx	ZNF444
plagx	ZNF576
plagx	ZSCAN29
plagx	PLAGL2
plagx	ZNF274
plagx	ZNF18
plagx	PEG3
plagx	ZKSCAN2
plagx	ZNF496
plagx	ZSCAN5A
plagx	ZSCAN5C
plagx	ZSCAN5B
plagx	ZNF202
plagx	PLAGL1
plagx	ZSCAN18
plagx	ZNF446
plagx	ZNF174
plagx	ZSCAN1
plagx	SCAND1
plagx	OVOL3
plagx	ZNF641
CR855337.1	
srsf4	SRSF4
tpd52l2a	
rnf115	RNF115
tpd52l2a	
tmem39b	TMEM39B
trim35-21	
dip2ba	DIP2B
cox6b2	COX6B2
pmpcb	PMPCB
ivns1abpa	IVNS1ABP
wnt11	
bdh1	BDH1
vasnb	VASN
cox6b2	COX6B2
crygm2d20	CRYGD
crygm2d20	CRYGB
crygm2d20	CRYGC
crygm2d20	CRYGA
wnt2bb	WNT2B
rpl27	RPL27
ubap1	UBAP1
gyg1b	GYG1
zgc:110626	ARRDC5
comtd1	COMTD1
cfd	CFD
gmds	GMDS
slc12a10.3	
eef2k	EEF2K
CFAP77	CFAP77
gmds	GMDS
pthlhb	PTHLH
mtrex	MTREX
zgc:172145	FTHL17
zgc:172145	FTMT
zgc:172145	FTL
zgc:172106	
dnajc2	DNAJC2
atp1a3a	ATP13A5
atp1a3a	ATP13A4
atp1a3a	ATP2B2
atp1a3a	ATP12A
atp1a3a	ATP2C2
atp1a3a	ATP1A4
egr3	EGR3
tmpob	TMPO
mocs1	MOCS1
brf2	BRF2
trappc6b	TRAPPC6B
zgc:103678	MPC2
sfswap	SFSWAP
efemp2b	EFEMP2
micos10	
ing4	ING4
zgc:136472	PDIA2
zgc:136472	PDILT
si:dkey-33c12.12	HTRA2
trim8b	TRIM8
cbfb	CBFB
zgc:175264	PHTF1
ENKD1	ENKD1
eif3ha	
elmo1	ELMO1
rnf19b	RNF19B
furinb	FURIN
fam49bb	
frem3	FREM3
rasgrp4	RASGRP4
acsl1a	ACSL1
bcl7bb	BCL7B
DTX4	DTX4
asb12b	ASB12
si:dkey-11p23.7	
snx14	SNX14
rassf7b	RASSF7
pcmtd2a	PCMTD2
rplp1	RPLP1
slc25a39	
aqp8b	AQP10
aqp8b	AQP6
znf219	
csnk1g2b	CSNK1G2
bin3	BIN3
soul2	
ndufb2	NDUFB2
ndufb2	NDUFB2
sim1a	SIM1
csnk1g2b	CSNK1G2
cux1b	
chst10	CHST10
anos1a	ANOS1
gpank1	GPANK1
pif1	PIF1
gpank1	GPANK1
nadk2	NADK2
gpank1	GPANK1
trmt2b	TRMT2B
trpc4a	TRPC4
si:dkey-19a16.4	
inpp5l	
abhd14a	ABHD14A
hecw1b	HECW1
si:dkey-112g5.16	HTRA2
zc3h11a	ZC3H11B
zc3h11a	ZC3H11A
zc3h11a	C12orf50
her12	
znf800b	
fgfrl1a	FGFRL1
syap1	SYAP1
hemk1	HEMK1
gstt1a	
zgc:154164	HIST1H4D
dazap1	DAZAP1
uprt	UPRT
si:dkey-15j16.3	NECTIN1
mrm3a	
msnb	MSN
fzd2	FZD2
polr2l	POLR2L
crygm2d5	CRYGD
crygm2d5	CRYGB
crygm2d5	CRYGC
crygm2d5	CRYGA
dpy19l1l	DPY19L2
dpy19l1l	DPY19L1
ivns1abpb	IVNS1ABP
cmya5	CMYA5
tyrp1b	TYRP1
rbx1	RBX1
mcm9	MCM9
si:dkey-165n16.1	
pon3.2	PON3
pon3.2	PON2
pon3.2	PON1
khdrbs1a	KHDRBS1
dexi	DEXI
nxn	NXN
si:dkey-37o8.1	GSPT2
her4.1	HES5
her4.1	HEYL
zgpat	AL121845.3
zgpat	ZGPAT
slc31a1	SLC31A1
spon2a	
mapk6	MAPK6
rsl1d1	RSL1D1
clybl	CLYBL
tomm6	TOMM6
ripor2	RIPOR2
ripor2	AL512428.1
slc31a1	SLC31A1
zgc:153722	
fam160a2	FAM160A2
si:ch211-191i18.4	
parp2	PARP2
zgc:172323	
add1	ADD1
gpat4	GPAT4
si:dkey-112g5.13	HTRA2
pop5	POP5
her4.4	HES5
her4.4	HEYL
slc25a3b	SLC25A3
dusp19b	
pdcd4a	
gpr183a	GPR183
her4.3	HES5
her4.3	HEYL
acot14	
rpp25l	RPP25L
si:ch211-184m13.4	
tspo	TSPO2
ccl39.2	
dtx2	DTX2
her4.2	HES5
her4.2	HEYL
rpusd2	RPUSD2
zgc:136439	
uqcc2	UQCC2
ccdc115	CCDC115
tent2	TENT2
jtb	AL358472.7
jtb	JTB
nfixb	
ttc12	
srsf6b	SRSF6
ccl39.1	
habp2	PRSS51
habp2	PRSS55
