Symbol,CLI,#_AUUUY,#_WUUUA,#_YUUUA,#_UUUUU,#Motifs,5UTR,3UTR,CDS,Intron,Total_Binding_Sites,Binding_Site_Bins
ZFAND3,373.46089,84,78,78,64,240,0,3,0,98,101,>8 Sites
FNIP1,369.4653357,86,71,76,52,233,0,10,2,89,101,>8 Sites
ARID2,337.7332308,79,78,72,80,229,0,7,0,93,100,>8 Sites
EYA4,337.912446,89,86,77,53,252,0,2,0,97,99,>8 Sites
PRKG1,318.4261895,102,108,93,70,303,0,1,0,97,98,>8 Sites
ARID4B,351.2395796,91,86,82,65,259,0,5,0,92,97,>8 Sites
PRIM2,330.1617682,77,82,65,61,224,0,0,1,95,96,>8 Sites
RFWD2,333.6465708,85,72,72,62,229,0,1,1,93,95,>8 Sites
PARD3,311.7557314,100,90,82,79,272,0,0,0,95,95,>8 Sites
RBM26,368.9695188,76,77,71,66,224,0,3,0,92,95,>8 Sites
MKLN1,362.4052646,92,73,73,73,238,0,16,0,79,95,>8 Sites
PHIP,340.3445792,74,79,68,43,221,0,0,0,95,95,>8 Sites
TNKS,358.1765912,68,72,72,54,212,0,8,0,86,94,>8 Sites
N4BP2L2,356.2180893,87,75,59,67,221,0,2,2,90,94,>8 Sites
ADK,305.6572657,97,97,81,62,275,0,3,0,90,93,>8 Sites
CNOT4,330.7419364,71,66,65,55,202,0,9,0,84,93,>8 Sites
FOXP2,301.3689868,94,82,71,62,247,1,1,0,90,92,>8 Sites
NCKAP1,334.9136394,67,79,66,60,212,0,4,1,87,92,>8 Sites
NF1,326.0925541,90,60,73,53,223,0,7,0,84,91,>8 Sites
RFC3,376.5237402,70,69,59,52,198,0,6,0,85,91,>8 Sites
FANCL,345.0922232,76,83,74,62,233,0,0,0,90,90,>8 Sites
MNAT1,309.6718279,87,84,78,62,249,0,1,0,88,89,>8 Sites
ZNF225,363.3609105,87,77,70,53,234,0,7,0,81,88,>8 Sites
XRN2,322.7024084,72,61,58,42,191,0,1,0,87,88,>8 Sites
ETNK1,348.6240589,77,73,65,62,215,0,18,0,70,88,>8 Sites
WAC,352.2220865,67,58,58,56,183,2,0,0,85,87,>8 Sites
AGTPBP1,297.1756934,78,87,78,63,243,0,0,0,86,86,>8 Sites
MED13,360.4719601,79,73,65,81,217,0,12,1,72,85,>8 Sites
TUSC3,297.802875,79,70,67,41,216,0,2,0,82,84,>8 Sites
CNOT2,308.7158852,63,59,44,47,166,0,2,0,81,83,>8 Sites
ZMYM4,317.4303633,68,67,67,50,202,0,2,0,81,83,>8 Sites
ZZZ3,308.0121733,62,77,62,54,201,0,3,0,79,82,>8 Sites
PDS5B,287.246182,77,76,64,70,217,0,5,0,76,81,>8 Sites
COG5,263.4374663,63,63,57,60,183,0,4,1,76,81,>8 Sites
PCNXL2,280.4812696,77,65,51,56,193,0,0,1,79,80,>8 Sites
KLF12,260.5261466,77,66,78,62,221,0,5,0,74,79,>8 Sites
ZMYM2,269.9772657,76,69,62,62,207,0,3,0,75,78,>8 Sites
MBD5,262.7432745,64,65,74,59,203,0,0,0,78,78,>8 Sites
STAG1,261.5577766,65,71,64,49,200,0,3,0,75,78,>8 Sites
LCOR,300.7128469,61,65,57,43,183,0,26,0,51,77,>8 Sites
RBM9,249.7144187,71,65,53,63,189,0,4,0,73,77,>8 Sites
UBE2E2,263.2904121,65,66,67,48,198,0,5,0,72,77,>8 Sites
SUPT3H,243.4068121,70,56,49,65,175,0,0,0,77,77,>8 Sites
ZCCHC7,261.5334763,67,74,63,58,204,0,4,0,72,76,>8 Sites
DOCK3,252.8128255,73,65,60,69,198,0,2,0,74,76,>8 Sites
AUTS2,246.2412401,56,49,47,61,152,0,1,0,75,76,>8 Sites
RICTOR,279.1941746,65,71,58,59,194,0,2,0,74,76,>8 Sites
MLL3,262.0243789,58,68,65,52,191,0,3,1,72,76,>8 Sites
USP34,248.2449681,56,49,46,46,151,0,0,2,73,75,>8 Sites
VTI1A,259.8387124,61,59,59,50,179,0,2,0,73,75,>8 Sites
STAG2,263.2041028,66,51,52,37,169,0,10,0,64,74,>8 Sites
LMBR1,242.6782083,67,68,61,52,196,0,7,0,67,74,>8 Sites
ZNF638,275.065659,53,55,53,34,161,2,0,1,71,74,>8 Sites
CNTLN,245.275909,72,58,58,52,188,0,1,0,72,73,>8 Sites
CHCHD3,252.4829912,64,55,50,60,169,0,1,0,72,73,>8 Sites
ZC3H13,273.6279529,64,50,52,50,166,1,0,0,72,73,>8 Sites
WDR70,252.7815887,81,72,62,51,215,0,0,0,73,73,>8 Sites
PCDH7,245.9492846,67,69,69,59,205,0,1,1,71,73,>8 Sites
PPP2R2A,274.1306011,47,51,47,42,145,0,0,1,71,72,>8 Sites
GPR98,241.451511,81,61,62,51,204,0,0,2,69,71,>8 Sites
TMEM161B,275.4853206,55,56,53,31,164,0,0,2,69,71,>8 Sites
BCAS3,227.3802229,62,56,55,48,173,0,0,0,70,70,>8 Sites
EFNA5,243.6401188,48,50,43,48,141,0,4,0,66,70,>8 Sites
TBL1XR1,242.9159043,64,62,56,58,182,0,11,0,57,68,>8 Sites
RAD51L1,228.8737407,63,57,50,50,170,0,0,2,66,68,>8 Sites
THOC2,247.500115,63,55,48,50,166,0,8,0,59,67,>8 Sites
HELLS,290.3599934,51,53,50,50,154,0,4,1,62,67,>8 Sites
ZNF451,273.7258362,55,68,54,48,177,0,27,1,39,67,>8 Sites
HBS1L,261.9230944,53,55,52,40,160,0,5,0,62,67,>8 Sites
STRN3,237.8401731,60,56,56,39,172,0,5,0,61,66,>8 Sites
PUM1,234.7415421,47,63,59,48,169,0,4,1,61,66,>8 Sites
ZNF292,247.6259814,60,56,46,38,162,0,12,3,51,66,>8 Sites
OLA1,219.8181896,69,49,44,35,162,0,0,1,65,66,>8 Sites
CADM1,221.8253462,57,73,65,52,195,0,1,0,64,65,>8 Sites
ORC4L,222.7552761,56,52,48,44,156,0,3,1,61,65,>8 Sites
ZFR,254.0767744,49,55,54,44,158,0,4,1,60,65,>8 Sites
LUC7L2,256.321518,47,51,54,37,152,0,4,0,61,65,>8 Sites
G2E3,235.8337837,56,50,51,36,157,0,14,0,50,64,>8 Sites
XKR6,238.8301752,45,34,43,33,122,0,0,0,64,64,>8 Sites
PTPRK,198.9789965,57,61,64,45,182,0,1,0,63,64,>8 Sites
NFIA,221.7123642,51,48,49,52,148,0,13,0,51,64,>8 Sites
ZNF148,223.693951,67,56,50,48,173,1,17,0,46,64,>8 Sites
BIRC6,220.8111632,70,75,64,55,209,0,3,0,61,64,>8 Sites
BAT2D1,241.2714549,55,56,54,49,165,0,3,1,60,64,>8 Sites
SENP6,219.0518479,49,45,41,43,135,0,1,1,62,64,>8 Sites
TCERG1,246.5625667,43,47,51,36,141,0,3,2,59,64,>8 Sites
PAN3,220.424504,50,66,59,44,175,0,3,0,60,63,>8 Sites
FBXW7,211.5327601,61,65,51,42,177,0,4,0,59,63,>8 Sites
PUM2,231.8290909,59,49,51,40,159,0,9,0,54,63,>8 Sites
PPP1R12A,202.4988625,49,51,46,38,146,0,8,0,54,62,>8 Sites
NARG1,231.3329924,60,45,51,47,156,0,5,0,57,62,>8 Sites
PTBP2,246.6657488,52,49,51,39,152,0,5,0,57,62,>8 Sites
SPATA5,205.5512483,53,48,56,38,157,0,1,1,60,62,>8 Sites
CHD6,201.8570322,43,43,33,36,119,0,6,0,55,61,>8 Sites
KIAA1267,211.1324269,50,51,49,52,150,0,5,0,56,61,>8 Sites
DYRK1A,235.9867383,48,53,45,40,146,1,4,0,56,61,>8 Sites
LEMD3,218.8445094,49,44,44,35,137,0,0,0,61,61,>8 Sites
PPHLN1,209.1322099,59,50,41,43,150,0,4,0,57,61,>8 Sites
TCF12,213.2265967,54,53,57,39,164,0,7,0,54,61,>8 Sites
TRIO,200.2104809,56,62,46,50,164,0,3,0,58,61,>8 Sites
ANKHD1,207.1529344,55,49,48,46,152,0,0,0,61,61,>8 Sites
NKAIN2,200.2519561,52,39,41,29,132,0,2,0,59,61,>8 Sites
SHFM1,219.4836892,46,34,34,29,114,0,2,0,58,60,>8 Sites
MRPL19,242.3291616,40,34,24,28,98,0,8,0,52,60,>8 Sites
PIAS1,219.593619,54,60,55,50,169,0,0,1,59,60,>8 Sites
PPM1E,198.6745124,46,49,44,37,139,0,3,0,57,60,>8 Sites
SETD5,235.1350826,49,52,52,47,153,0,5,0,55,60,>8 Sites
VRK1,219.138702,54,50,47,35,151,0,0,0,60,60,>8 Sites
DTNA,202.3573487,51,55,52,32,158,0,0,0,59,59,>8 Sites
CAMTA1,204.5513342,58,54,49,39,161,0,4,0,55,59,>8 Sites
PKN2,209.1007693,56,54,43,43,153,0,2,0,57,59,>8 Sites
RANBP17,201.7739172,49,49,42,36,140,0,0,0,59,59,>8 Sites
RIF1,211.6003572,54,44,45,39,143,0,6,0,53,59,>8 Sites
BRAF,201.1473509,49,51,45,45,145,0,4,0,55,59,>8 Sites
ATAD2,216.0734176,40,38,31,31,109,0,6,1,51,58,>8 Sites
SS18,187.682707,55,53,42,36,150,0,2,0,56,58,>8 Sites
EIF4G3,191.4489692,57,59,54,52,170,0,1,0,57,58,>8 Sites
DEK,237.0258454,35,43,38,24,116,0,7,0,51,58,>8 Sites
UBE3C,222.4662981,42,48,45,59,135,0,3,2,53,58,>8 Sites
ENAH,200.9329739,53,53,41,42,147,0,8,0,50,58,>8 Sites
CHD2,207.7411998,54,63,51,37,168,2,0,0,55,57,>8 Sites
RBM33,218.8134145,50,46,40,39,136,0,5,0,52,57,>8 Sites
BBX,194.4834709,47,48,44,43,139,0,11,0,46,57,>8 Sites
RAB3GAP1,200.422873,55,61,49,37,165,0,3,0,53,56,>8 Sites
PAPOLA,220.7152515,46,43,37,28,126,0,2,1,53,56,>8 Sites
ST7,192.1208936,73,55,53,48,181,1,1,0,54,56,>8 Sites
PDCD10,210.2739493,46,38,36,25,120,0,5,0,51,56,>8 Sites
INTS7,209.4180638,39,49,45,38,133,0,2,0,54,56,>8 Sites
ARIH1,194.9189849,39,40,30,39,109,0,2,0,53,55,>8 Sites
SFMBT2,204.1126657,53,50,47,33,150,0,4,0,51,55,>8 Sites
CREB5,200.2441028,47,50,42,42,139,0,12,0,43,55,>8 Sites
NFAT5,217.8108073,42,48,48,49,138,0,26,0,29,55,>8 Sites
6-Mar,196.3119603,45,53,51,38,149,0,4,1,50,55,>8 Sites
ZNF678,203.8403902,52,56,53,48,161,0,2,2,51,55,>8 Sites
NCOA2,174.8396167,45,37,32,26,114,0,1,0,53,54,>8 Sites
ARHGEF12,195.6495708,59,47,40,42,146,0,5,0,49,54,>8 Sites
NUP153,215.5188426,45,35,33,37,113,0,4,1,49,54,>8 Sites
RB1,190.3699382,48,50,50,36,148,0,6,1,47,54,>8 Sites
ERBB2IP,177.5633995,45,41,41,31,127,0,2,0,52,54,>8 Sites
HELZ,191.9722479,46,55,57,42,158,0,14,1,39,54,>8 Sites
MLLT3,181.4754975,53,45,46,47,144,0,4,0,50,54,>8 Sites
LRBA,173.461385,65,52,51,43,168,0,0,0,54,54,>8 Sites
SASS6,215.3785381,54,52,47,43,153,0,7,1,46,54,>8 Sites
LRPPRC,175.2663316,45,31,26,32,102,0,1,0,53,54,>8 Sites
FAM172A,176.6597986,53,55,57,46,165,0,4,0,49,53,>8 Sites
WNK1,172.6115996,45,51,43,49,139,0,6,0,47,53,>8 Sites
LARS,201.7887552,47,47,40,36,134,0,2,1,50,53,>8 Sites
CACNA2D1,156.4803646,54,63,53,28,170,0,1,0,51,52,>8 Sites
CSPP1,172.4449781,48,62,46,41,156,0,0,0,52,52,>8 Sites
GNGT1,188.6049303,49,43,41,25,133,0,0,0,52,52,>8 Sites
BDP1,175.278451,36,38,45,40,119,0,4,0,48,52,>8 Sites
GLS,199.7119534,54,52,50,36,156,0,13,0,39,52,>8 Sites
MLLT10,164.9902616,56,48,49,41,153,0,4,0,47,51,>8 Sites
PCNX,173.4836358,50,42,41,40,133,0,1,0,50,51,>8 Sites
SAPS3,189.8593397,44,34,32,48,110,0,3,0,48,51,>8 Sites
POT1,167.7907678,42,37,39,34,118,1,2,0,48,51,>8 Sites
ZEB1,174.6269917,47,49,46,29,142,0,8,0,43,51,>8 Sites
MLLT4,172.2334066,39,38,31,28,108,0,0,0,51,51,>8 Sites
EZH2,196.798875,36,40,38,19,114,0,1,0,50,51,>8 Sites
MIPOL1,167.2898702,54,45,50,37,149,0,1,0,49,50,>8 Sites
OSBPL8,172.4387803,51,45,46,39,142,0,14,0,36,50,>8 Sites
PPM1A,189.5431528,48,42,44,32,134,0,27,1,22,50,>8 Sites
TBC1D15,183.4132088,42,41,33,26,116,0,5,0,45,50,>8 Sites
SDK1,155.8375289,40,48,44,40,132,0,0,0,50,50,>8 Sites
UBE2K,209.6043389,42,44,41,43,127,0,11,0,39,50,>8 Sites
MSRB3,167.1420702,48,50,42,36,140,0,4,0,46,50,>8 Sites
UGCGL2,162.8151378,46,55,48,30,149,0,0,2,48,50,>8 Sites
CSNK1G3,178.2209288,34,39,30,27,103,1,5,0,44,50,>8 Sites
PSPC1,180.7623026,48,53,47,37,148,0,0,0,50,50,>8 Sites
ZFP91,187.4743766,35,38,34,30,107,0,11,0,38,49,>8 Sites
BTAF1,166.8727932,45,42,43,34,130,0,4,0,45,49,>8 Sites
HS2ST1,171.4187812,39,38,33,35,110,0,11,0,38,49,>8 Sites
GSK3B,157.6962749,38,34,33,35,105,0,13,0,36,49,>8 Sites
GOLPH3,214.5555692,41,38,39,40,118,0,10,0,39,49,>8 Sites
ANKRD13C,180.1888132,37,49,38,32,124,0,8,0,41,49,>8 Sites
MLL5,174.4940052,39,35,33,27,107,0,2,0,47,49,>8 Sites
KTN1,160.5097831,47,43,37,35,127,0,0,0,48,48,>8 Sites
NBEA,153.1650371,47,41,43,34,131,0,0,0,48,48,>8 Sites
KDM6A,154.2207913,47,44,37,32,128,0,0,0,48,48,>8 Sites
CENPP,147.1362819,43,39,37,34,119,0,1,0,47,48,>8 Sites
DST,163.0349724,56,49,44,28,149,0,1,0,47,48,>8 Sites
PPP4R2,171.6029166,40,40,31,33,111,0,7,0,41,48,>8 Sites
CHIC1,150.1227423,46,35,33,29,114,0,8,0,39,47,>8 Sites
HUWE1,170.062008,41,40,38,35,119,0,0,2,45,47,>8 Sites
EIF3H,158.6714822,43,44,41,24,128,0,0,0,47,47,>8 Sites
UBE2E3,171.4196008,46,35,38,32,119,0,0,0,47,47,>8 Sites
UBE2E1,176.2507258,34,32,32,28,98,0,2,0,45,47,>8 Sites
TNPO1,172.5472829,36,39,30,24,105,0,11,0,36,47,>8 Sites
CHD1,168.4956309,32,33,33,26,98,2,3,0,42,47,>8 Sites
LPP,156.5453937,42,43,40,22,125,0,23,0,23,46,>8 Sites
BACH1,176.0327652,37,42,33,31,112,1,10,1,34,46,>8 Sites
HNRNPC,208.8167676,42,33,31,31,106,0,8,0,38,46,>8 Sites
COG6,149.7009036,54,44,47,30,145,0,2,0,44,46,>8 Sites
CENPK,194.670067,36,44,37,31,117,0,3,0,43,46,>8 Sites
RAB28,168.3656073,47,44,41,35,132,0,1,0,45,46,>8 Sites
WASL,164.2748814,34,31,37,29,102,0,14,0,32,46,>8 Sites
SR140,157.3954767,42,39,33,27,114,0,8,0,37,45,>8 Sites
MAP2K4,150.5694337,42,36,41,31,119,0,1,0,44,45,>8 Sites
ASXL1,153.4245747,48,45,43,44,136,0,1,0,44,45,>8 Sites
ZCCHC11,169.3231516,30,44,38,31,112,0,4,0,41,45,>8 Sites
NDFIP2,160.9531018,38,48,34,25,120,0,17,0,28,45,>8 Sites
SLC38A1,175.9748221,49,37,33,27,119,1,10,1,33,45,>8 Sites
SFRS18,194.7587217,38,42,37,34,117,0,10,0,35,45,>8 Sites
FXR1,165.3707635,46,53,56,42,155,1,3,0,41,45,>8 Sites
PCM1,157.1439786,40,42,36,32,118,0,1,1,43,45,>8 Sites
CDC73,165.5909563,40,43,42,41,125,0,6,1,38,45,>8 Sites
WRN,158.9849947,45,38,36,30,119,0,0,0,45,45,>8 Sites
ZFAND6,173.1866282,35,45,46,33,126,1,2,0,41,44,>8 Sites
OSBPL9,154.521568,46,42,40,37,128,0,1,0,43,44,>8 Sites
EXOC6,150.5144999,35,42,39,30,116,0,1,0,43,44,>8 Sites
CCDC132,146.3066962,38,33,31,31,102,0,1,0,43,44,>8 Sites
PRPF40A,168.0255503,40,37,34,32,111,0,14,0,30,44,>8 Sites
NCAPG2,165.5482671,38,37,33,25,108,0,6,0,38,44,>8 Sites
FUBP1,179.5486619,32,41,35,21,108,0,5,0,39,44,>8 Sites
GABPA,182.378334,29,34,38,31,101,0,13,0,31,44,>8 Sites
MRPS28,155.8398367,44,35,33,33,112,0,0,0,43,43,>8 Sites
TMEM135,147.9495018,44,43,35,22,122,0,0,0,43,43,>8 Sites
SON,177.0489702,27,30,28,14,85,0,8,5,30,43,>8 Sites
NET1,149.2339781,38,36,30,28,104,0,3,0,40,43,>8 Sites
MTF2,167.4864363,34,38,38,32,110,0,8,0,35,43,>8 Sites
PITPNB,166.4858884,34,39,35,32,108,0,5,0,38,43,>8 Sites
ATXN1,143.352752,39,40,30,34,109,0,0,0,43,43,>8 Sites
XPO1,183.6440471,36,40,36,31,112,2,8,0,33,43,>8 Sites
TLK1,145.256416,40,38,41,22,119,0,1,0,42,43,>8 Sites
ALG13,150.1131198,49,30,27,35,106,0,3,0,40,43,>8 Sites
ECT2,147.6577972,36,37,30,25,103,1,0,1,41,43,>8 Sites
G3BP1,176.8584151,39,24,21,34,84,0,21,0,22,43,>8 Sites
WDR26,167.3468869,31,27,26,24,84,0,14,0,29,43,>8 Sites
PSMD1,145.6989986,31,32,34,37,97,0,0,0,43,43,>8 Sites
TMTC3,163.76598,31,36,36,21,103,0,15,2,26,43,>8 Sites
RASAL2,137.8802436,37,42,37,32,116,0,1,0,42,43,>8 Sites
AHI1,137.4722801,33,38,35,28,106,0,2,0,41,43,>8 Sites
FOXO3,145.6370595,46,35,34,22,115,0,0,0,43,43,>8 Sites
ACBD6,141.5796156,36,38,33,28,107,0,0,0,43,43,>8 Sites
GPATCH2,145.2505599,43,43,40,33,126,0,10,0,33,43,>8 Sites
ZSWIM6,139.526142,35,33,26,26,94,0,3,0,40,43,>8 Sites
TTC37,158.7968896,32,37,38,28,107,0,1,0,42,43,>8 Sites
AGPS,145.0713039,36,32,34,28,102,0,6,1,36,43,>8 Sites
ANKRD32,158.2254169,44,32,37,26,113,0,5,0,38,43,>8 Sites
CEP192,151.4257168,38,38,37,34,113,0,1,0,41,42,>8 Sites
CNOT1,144.034691,29,33,31,35,93,0,0,2,40,42,>8 Sites
SCFD1,149.1823797,44,34,36,19,114,0,0,2,40,42,>8 Sites
ATF6,141.9845651,28,36,44,28,108,0,2,0,40,42,>8 Sites
DCUN1D4,155.4476525,30,25,28,31,83,0,10,0,32,42,>8 Sites
PIK3C3,139.8812732,29,38,38,30,105,0,1,0,41,42,>8 Sites
SND1,141.3223347,52,48,45,40,145,0,0,0,42,42,>8 Sites
SRBD1,138.291286,42,40,37,25,119,0,5,0,37,42,>8 Sites
ASPM,149.6845811,30,29,32,22,91,0,0,1,41,42,>8 Sites
PK4P,133.5023797,38,40,37,38,115,1,0,0,41,42,>8 Sites
KIF20B,137.5798634,33,37,38,29,108,0,4,0,38,42,>8 Sites
QKI,153.6521564,34,40,37,26,111,0,17,0,25,42,>8 Sites
LPHN2,138.5456031,43,45,47,32,135,0,0,0,42,42,>8 Sites
RARS2,143.4512797,36,41,36,35,113,0,0,0,42,42,>8 Sites
UBE3A,148.2434021,29,23,27,21,79,0,2,1,38,41,>8 Sites
NCOR1,132.1782024,38,43,42,34,123,0,3,0,38,41,>8 Sites
NAP1L1,167.9138425,28,32,24,27,84,0,3,0,38,41,>8 Sites
PLCB1,137.5511231,44,41,36,38,121,0,0,0,41,41,>8 Sites
PANK3,178.5522314,30,25,24,19,79,0,18,0,23,41,>8 Sites
SFRS2IP,157.5859737,37,35,38,29,110,0,3,1,37,41,>8 Sites
MTPN,161.4319789,28,27,21,18,76,0,16,0,25,41,>8 Sites
POU2F1,158.581991,32,23,23,20,78,0,18,1,22,41,>8 Sites
ATF2,162.9752113,36,33,24,37,93,0,12,0,29,41,>8 Sites
PHF20L1,150.8392537,45,44,40,31,129,0,4,0,37,41,>8 Sites
CCNT2,152.3556334,25,29,30,19,84,0,7,0,34,41,>8 Sites
RTTN,140.476746,34,42,36,18,112,0,1,0,40,41,>8 Sites
RBM27,155.0614175,43,39,32,30,114,0,12,0,29,41,>8 Sites
PPIL4,146.0195204,34,38,30,22,102,1,4,0,36,41,>8 Sites
RTN4,137.2648418,33,28,27,28,88,0,0,0,40,40,>8 Sites
SSH2,139.2155463,40,44,38,32,122,0,7,0,33,40,>8 Sites
MAP3K7IP2,137.7562069,39,40,33,27,112,0,0,1,39,40,>8 Sites
MCPH1,132.423285,37,36,36,39,109,0,1,0,39,40,>8 Sites
RABGAP1,124.2556692,31,34,27,36,92,0,0,0,40,40,>8 Sites
SH3GL3,129.618211,31,26,25,26,82,0,1,0,39,40,>8 Sites
ATAD1,153.9911333,33,37,32,24,102,0,7,0,33,40,>8 Sites
ZNF529,196.9507581,29,31,28,23,88,0,13,0,27,40,>8 Sites
NUCKS1,202.2847001,24,31,32,30,87,0,26,0,14,40,>8 Sites
MYCBP2,122.3111605,44,35,35,25,114,0,0,0,40,40,>8 Sites
MRPL3,143.4256664,29,29,25,19,83,0,3,0,37,40,>8 Sites
BAT2L,152.5885172,37,24,24,33,85,0,6,0,33,39,>8 Sites
LARP4,167.4362395,43,39,30,32,112,0,14,0,25,39,>8 Sites
ASB3,132.926256,29,29,32,25,90,0,3,0,36,39,>8 Sites
MYST3,155.6439333,26,22,26,28,74,0,16,0,23,39,>8 Sites
AFF4,148.5946937,36,43,37,25,116,0,9,0,30,39,>8 Sites
EXT1,138.4191229,26,29,20,24,75,0,0,1,38,39,>8 Sites
SERINC1,144.1650019,22,21,22,25,65,0,5,2,32,39,>8 Sites
QSER1,154.6066345,31,35,31,21,97,0,9,5,25,39,>8 Sites
PIBF1,126.9771102,44,41,37,30,122,0,0,0,39,39,>8 Sites
IGF2BP2,140.2219204,42,38,37,33,117,0,0,0,39,39,>8 Sites
APP,131.6079358,42,32,37,20,111,0,6,0,33,39,>8 Sites
XPO4,142.4112329,37,42,42,42,121,0,7,0,32,39,>8 Sites
CSTF3,147.488596,41,42,38,28,121,0,0,1,38,39,>8 Sites
ZRANB3,137.9538946,37,38,45,32,120,0,0,0,39,39,>8 Sites
FER,135.1212361,30,34,29,28,93,0,8,0,31,39,>8 Sites
KIAA1958,143.83715,42,46,39,32,127,0,1,0,38,39,>8 Sites
TAF2,131.0595255,35,35,26,29,96,0,2,0,37,39,>8 Sites
FOXJ3,152.581386,31,28,29,25,88,1,5,0,33,39,>8 Sites
XPO7,151.064288,36,34,35,34,105,0,5,0,34,39,>8 Sites
NFIB,141.9580404,32,36,31,28,99,0,13,0,25,38,>8 Sites
RFX7,133.6431589,42,41,39,45,122,0,2,0,36,38,>8 Sites
RDX,145.394333,32,34,27,34,93,0,7,0,31,38,>8 Sites
PLEKHA5,133.0356876,31,37,30,31,98,0,3,0,35,38,>8 Sites
REEP3,150.0682241,36,35,36,27,107,0,17,0,21,38,>8 Sites
FNDC3B,124.8643726,35,35,34,32,104,0,6,0,32,38,>8 Sites
ITCH,132.5403067,32,28,35,32,95,0,5,1,32,38,>8 Sites
ARHGAP5,130.4509252,32,28,25,21,85,0,8,1,29,38,>8 Sites
DENND4A,143.8752623,35,30,28,34,93,0,3,0,35,38,>8 Sites
CD2AP,137.1495623,34,36,32,22,102,0,1,0,37,38,>8 Sites
MEF2A,125.7855409,23,28,27,28,78,0,3,0,35,38,>8 Sites
ZC3H11A,141.9064404,33,32,30,24,95,0,0,1,37,38,>8 Sites
TMEM38B,138.1264104,31,31,28,25,90,0,11,0,27,38,>8 Sites
SMARCAD1,135.0834149,29,28,23,30,80,0,5,0,33,38,>8 Sites
EXO1,147.4127448,29,27,21,20,77,0,0,0,38,38,>8 Sites
PHF3,139.2660147,28,28,21,18,77,0,7,3,28,38,>8 Sites
BMPR1B,123.4903919,37,42,36,28,115,0,5,0,33,38,>8 Sites
ARL5B,171.0547405,18,25,21,14,64,0,32,1,5,38,>8 Sites
USP10,134.4779205,33,37,36,28,106,0,1,0,36,37,>8 Sites
RUFY2,137.5872854,38,30,29,31,97,0,13,0,24,37,>8 Sites
PAPD4,140.177327,31,31,30,21,92,0,4,0,33,37,>8 Sites
TMPO,155.2950553,20,24,25,19,69,0,4,1,32,37,>8 Sites
BRWD1,131.2650496,32,34,29,27,95,0,6,0,31,37,>8 Sites
ZC3H12C,136.6908791,34,41,34,27,109,0,14,0,23,37,>8 Sites
EXOC5,128.6839901,33,31,40,22,104,0,10,1,26,37,>8 Sites
EXOC4,124.7766192,44,37,39,36,120,0,0,0,37,37,>8 Sites
EIF3E,141.4564794,27,18,22,22,67,0,0,0,37,37,>8 Sites
DOCK4,129.0363996,34,31,35,36,100,0,0,0,37,37,>8 Sites
7-Mar,140.9480008,35,29,31,28,95,0,8,0,29,37,>8 Sites
TBCA,133.751533,35,34,29,21,98,0,0,0,37,37,>8 Sites
ERBB4,112.7108173,37,31,28,21,96,0,1,0,36,37,>8 Sites
NKTR,152.677283,30,29,30,27,89,0,5,0,32,37,>8 Sites
